id;Hamburgueseria;Direccion;Barrio;telefono;mail1;web;lat;lon
1;Burger Joint;Jorge Luis Borges 1776;Palermo;011 4833-5151;;;-34.58762;-58.428549
2;Heisenburger Burger Lab;baez 252;Las Cañitas;;;;-34.5723558;-58.4306567
3;Burger Mood;Viamonte 359;Microcentro;;;;-34.5996109;-58.372381
4;Mi Barrio;Arenales 2609;Barrio Norte;;;;-34.5928587;-58.4031378
5;Perez H;Honduras 5509;Palermo;;;;-34.5847858;-58.4354634
6;Perez H;Maipú 618;microcentro;;;;-34.6009562;-58.3767961
7;Perez H;Defensa 435;San Telmo;;;;-34.6128939;-58.3719503
8;Chochan;Piedras 672;San Telmo;;;;-34.615924;-58.3774293
9;Dellepiane Bar;Luis Dellepiane 685;Microcentro;;;;-34.6010687;-58.3909723
10;El Banco Rojo;Bolívar 914;San Telmo;;;;-34.6148184;-58.3907603
11;DelToro;Bernardo de Irigoyen 366;San Telmo;;;;-34.6125659;-58.3805294
12;Marfa;Av Santa Fe 5199;Palermo;;;;-34.5767614;-58.4309981
13;180 Burger Bar;Suipacha 749;Microcentro;;;;-34.5995484;-58.3797986
14;UCO Restaurant;Soler 5862;Palermo;;;;-34.5787925;-58.4352006
15;La Cresta San Telmo;Bolívar 865;San Telmo;;;;-34.6179775;-58.373096
16;La Cresta Almagro;Bulnes 829;Almagro;;;;-34.6018302;-58.4177989
17;Tierra de Nadie;Avenida Avellaneda 588;Caballito;;;;-34.6145981;-58.4393631
18;Pony Line;Posadas, 1086;Recoleta;;;;-34.590663;-58.382499
19;Dean & Dennys;Malabia 1591;Palermo;;;;-34.5908445;-58.4271444
20;Burger 54;Avenida del Libertador General San Martín 13632;;;;;-34.4854303;-58.4878471
21;Ilegal Burger;Av Callao 1290;Recoleta;;;;-34.5939094;-58.3931069
22;Perica;Av. del Libertador 2004;Palermo;;;;-34.5857183;-58.3874765
23;Home Burger;Bonpland 1580;Palermo;;;;-34.58428;-58.4384437
24;Burger Club;Junin 1721;Recoleta;;;;-34.5890505;-58.3928732
25;Be Frika;Junín 1350;Recoleta;;;;-34.5924336;-58.3968063
26;MAD;Av. del Libertador 6002;Belgrano;;;;-34.556668;-58.4479349
27;;;;;;;;
28;;;;;;;;
29;;;;;;;;
30;;;;;;;;
31;;;;;;;;
32;;;;;;;;
33;;;;;;;;
34;;;;;;;;
35;;;;;;;;
36;;;;;;;;
37;;;;;;;;
38;;;;;;;;
39;;;;;;;;
40;;;;;;;;
41;;;;;;;;
42;;;;;;;;
43;;;;;;;;
44;;;;;;;;
45;;;;;;;;
46;;;;;;;;
47;;;;;;;;
48;;;;;;;;
49;;;;;;;;
50;;;;;;;;
51;;;;;;;;
52;;;;;;;;
53;;;;;;;;
54;;;;;;;;
55;;;;;;;;
56;;;;;;;;
57;;;;;;;;
58;;;;;;;;
